"","X.1","X","respondent_id","gender","age","height","children_under_18","household_income","education","location","frequency","recline_frequency","recline_obligation","recline_rude","recline_eliminate","switch_seats_friends","switch_seats_family","wake_up_bathroom","wake_up_walk","baby","unruly_child","two_arm_rests","middle_arm_rest","shade","unsold_seat","talk_stranger","get_up","electronics","smoked","NAcount","nrecline_rude","nage","agen","ngender","nrecline_frequency","frequentfliers"
"86",86,86,3433443270,"Male","30-44","5'8""",TRUE,NA,"Bachelor degree","Pacific","Once a month or less","Never",TRUE,"Somewhat",TRUE,"No","No","No","No","No","Somewhat","The arm rests should be shared","The arm rests should be shared","The person in the window seat should have exclusive control","No","No","Three times",TRUE,FALSE,1,2,NA,2,1,0,0
"87",87,87,3433421347,"Male","30-44","6'2""",TRUE,"$50,000 - $99,999","Graduate degree","Pacific","Once a year or less","Usually",TRUE,"No",FALSE,"No","No","Somewhat","Somewhat","Somewhat","Very","The arm rests should be shared","The arm rests should be shared","The person in the window seat should have exclusive control","No","No","Three times",FALSE,FALSE,0,1,NA,2,1,3,0
"88",88,88,3433413347,"Male","45-60",NA,NA,NA,"Bachelor degree","South Atlantic","Never",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,NA,3,1,NA,0
"89",89,89,3433408077,"Male","18-29",NA,NA,NA,"Some college or Associate degree","South Atlantic","Never",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,NA,1,1,NA,0
"90",90,90,3433405051,"Male","45-60","6'1""",FALSE,"$50,000 - $99,999","Graduate degree","West South Central","Once a year or less","Once in a while",TRUE,"Somewhat",TRUE,"No","No","No","Somewhat","Very","Very","The arm rests should be shared","The arm rests should be shared","The person in the window seat should have exclusive control","No","No","Twice",FALSE,FALSE,0,2,NA,3,1,1,0
"91",91,91,3433400808,"Male","45-60",NA,NA,"$50,000 - $99,999","Some college or Associate degree","Middle Atlantic","Never",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,3,1,NA,0
"92",92,92,3433400150,"Male","30-44",NA,NA,"$50,000 - $99,999","Bachelor degree","West South Central","Never",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,2,1,NA,0
"93",93,93,3433396155,"Male","45-60",NA,NA,"$50,000 - $99,999","Some college or Associate degree","South Atlantic","Never",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,3,1,NA,0
"94",94,94,3433387742,"Male","30-44","5'10""",FALSE,"$100,000 - $149,999","Bachelor degree","Mountain","Once a month or less","Always",FALSE,"No",FALSE,"Somewhat","Somewhat","No","Somewhat","No","Somewhat","The arm rests should be shared","The arm rests should be shared","Everyone in the row should have some say","No","No","Twice",FALSE,FALSE,0,1,NA,2,1,4,0
"95",95,95,3433383009,"Male","45-60","5'9""",FALSE,"$25,000 - $49,999","Bachelor degree","East North Central","Once a year or less","Always",TRUE,"No",FALSE,"Somewhat","No","Somewhat","Very","No","Very","The arm rests should be shared","The arm rests should be shared","The person in the window seat should have exclusive control","No","No","Three times",FALSE,FALSE,0,1,NA,3,1,4,0
"96",96,96,3433381681,"Male","> 60","5'9""",FALSE,"$50,000 - $99,999","Bachelor degree","East South Central","Once a month or less","Once in a while",TRUE,"No",FALSE,"No","No","No","Somewhat","No","Very","The arm rests should be shared","The arm rests should be shared","Everyone in the row should have some say","No","No","Three times",FALSE,FALSE,0,1,NA,4,1,1,0
"97",97,97,3433379314,"Male","> 60","6'5""",FALSE,"$50,000 - $99,999","Bachelor degree","West North Central","Once a year or less","Never",TRUE,"Very",TRUE,"No","No","No","No","No","Somewhat","The arm rests should be shared","The arm rests should be shared","The person in the window seat should have exclusive control","No","Somewhat","Three times",FALSE,FALSE,0,3,NA,4,1,0,0
"98",98,98,3433372314,"Male","> 60","5'11""",FALSE,"$50,000 - $99,999","Some college or Associate degree","West North Central","Once a year or less","Always",FALSE,"No",FALSE,"No","No","No","Somewhat","No","No","The arm rests should be shared","The arm rests should be shared","Everyone in the row should have some say","No","No","Three times",FALSE,FALSE,0,1,NA,4,1,4,0
"99",99,99,3433370920,"Male","30-44","6'2""",TRUE,"$100,000 - $149,999","Graduate degree","East North Central","Once a year or less","Once in a while",FALSE,"Somewhat",FALSE,"No","No","No","Very","No","Somewhat","The arm rests should be shared","The arm rests should be shared","Everyone in the row should have some say","No","Somewhat","Once",FALSE,FALSE,0,2,NA,2,1,1,0
"100",100,100,3433368700,"Male","45-60","6'2""",FALSE,"$25,000 - $49,999","Some college or Associate degree","South Atlantic","Once a year or less","Once in a while",TRUE,"No",FALSE,"No","No","No","No","No","Somewhat","The arm rests should be shared","The arm rests should be shared","Everyone in the row should have some say","Somewhat","No","More than five times times",FALSE,FALSE,0,1,NA,3,1,1,0
"101",101,101,3433368365,"Male","45-60","5'10""",FALSE,NA,"Graduate degree","South Atlantic","Once a month or less","Usually",FALSE,"No",FALSE,"No","No","Somewhat","Very","No","Very","The arm rests should be shared","The arm rests should be shared","The person in the window seat should have exclusive control","No","Somewhat","Once",FALSE,FALSE,1,1,NA,3,1,3,0
"102",102,102,3433366122,"Male","30-44","6'3""",TRUE,"$50,000 - $99,999","Less than high school degree","Mountain","Once a year or less","Always",TRUE,"Very",FALSE,"Very","Somewhat","Somewhat","Somewhat","Somewhat","Somewhat","The arm rests should be shared","The arm rests should be shared","Everyone in the row should have some say","No","No","Three times",FALSE,FALSE,0,3,NA,2,1,4,0
"103",103,103,3433365905,"Male","45-60",NA,NA,"$50,000 - $99,999","High school degree","Mountain","Never",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,3,1,NA,0
"104",104,104,3433365410,"Male","> 60","5'8""",FALSE,NA,"Graduate degree","Mountain","Once a year or less","Never",FALSE,"No",TRUE,"Somewhat","No","No","Somewhat","No","No","The arm rests should be shared","The arm rests should be shared","The person in the window seat should have exclusive control","Somewhat","No","Four times",FALSE,FALSE,1,1,NA,4,1,0,0
"105",105,105,3433365207,NA,NA,NA,NA,NA,NA,NA,"Once a year or less",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,0
"106",106,106,3433363377,"Male","18-29",NA,NA,"$100,000 - $149,999","Graduate degree",NA,"Never",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,NA,1,1,NA,0
"107",107,107,3433361838,"Male","45-60","6'1""",FALSE,"$50,000 - $99,999","Graduate degree","West South Central","Once a year or less","Once in a while",TRUE,"Somewhat",FALSE,"No","No","Somewhat","Somewhat","Somewhat","Very","The arm rests should be shared","The arm rests should be shared","The person in the window seat should have exclusive control","No","No","Three times",FALSE,FALSE,0,2,NA,3,1,1,0
"108",108,108,3433358233,"Male","18-29",NA,NA,"$100,000 - $149,999","Graduate degree","Pacific","Never",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,1,1,NA,0
"109",109,109,3433356966,"Male","45-60","6'0""",FALSE,NA,"Graduate degree","Pacific","Once a year or less","Once in a while",TRUE,"Somewhat",FALSE,"No","No","No","Somewhat","Somewhat","Very","The arm rests should be shared","The arm rests should be shared","Everyone in the row should have some say","No","No","Three times",FALSE,FALSE,1,2,NA,3,1,1,0
"110",110,110,3433355321,"Male","18-29",NA,NA,"$0 - $24,999","Some college or Associate degree","East North Central","Never",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,1,1,NA,0
"111",111,111,3433351077,"Male","> 60","5'8""",FALSE,"$100,000 - $149,999","Some college or Associate degree","West South Central","Once a year or less","About half the time",FALSE,"No",FALSE,"Somewhat","Somewhat","No","Somewhat","Somewhat","Very","The arm rests should be shared","The arm rests should be shared","Everyone in the row should have some say","No","No","Three times",FALSE,FALSE,0,1,NA,4,1,2,0
"112",112,112,3433347213,"Male","18-29",NA,NA,"$50,000 - $99,999","Some college or Associate degree","Pacific","Never",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,1,1,NA,0
"113",113,113,3433343494,"Male","> 60","5'7""",FALSE,"$100,000 - $149,999","Bachelor degree","Mountain","Once a year or less","Once in a while",FALSE,"No",FALSE,"Somewhat","No","No","No","No","Very","The arm rests should be shared","The arm rests should be shared","The person in the window seat should have exclusive control","No","No","Four times",FALSE,FALSE,0,1,NA,4,1,1,0
"114",114,114,3433342645,"Male","18-29","5'9""",FALSE,"$50,000 - $99,999","Some college or Associate degree","South Atlantic","Once a month or less","Never",TRUE,"Somewhat",FALSE,"No","No","Somewhat","Somewhat","Very","Very","The arm rests should be shared","The arm rests should be shared","The person in the window seat should have exclusive control","No","No","Once",TRUE,FALSE,0,2,NA,1,1,0,0
"115",115,115,3433339828,"Male","> 60",NA,NA,NA,"Some college or Associate degree","Middle Atlantic","Never",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,NA,4,1,NA,0
"116",116,116,3433339691,"Male","> 60","5'11""",FALSE,NA,"Graduate degree","Middle Atlantic","Once a year or less","Once in a while",FALSE,"No",TRUE,"Somewhat","No","No","Somewhat","No","Very","The people in the aisle and window seats get both arm rests","The arm rests should be shared","Everyone in the row should have some say","No","Somewhat","Three times",FALSE,FALSE,1,1,NA,4,1,1,0
"117",117,117,3433339394,"Male","45-60","5'10""",TRUE,"$50,000 - $99,999","Bachelor degree","Pacific","Once a month or less","Never",TRUE,"No",FALSE,"No","No","No","No","Somewhat","Somewhat","The arm rests should be shared","The arm rests should be shared","Everyone in the row should have some say","No","No","Twice",FALSE,FALSE,0,1,NA,3,1,0,0
"118",118,118,3433335323,"Male","30-44","6'4""",FALSE,"$50,000 - $99,999","Some college or Associate degree","Pacific","Once a month or less","Usually",FALSE,"Somewhat",FALSE,"No","No","Somewhat","Somewhat","Somewhat","Very","The arm rests should be shared","The arm rests should be shared","Everyone in the row should have some say","No","No","Once",FALSE,FALSE,0,2,NA,2,1,3,0
"119",119,119,3433334272,"Male","> 60","5'10""",FALSE,NA,"Bachelor degree","Pacific","Once a month or less","Once in a while",TRUE,"Very",TRUE,"No","No","No","Somewhat","Somewhat","Very","The arm rests should be shared","The arm rests should be shared","Everyone in the row should have some say","No","No","Four times",FALSE,FALSE,1,3,NA,4,1,1,0
"120",120,120,3433333817,"Male","45-60",NA,NA,NA,"High school degree","Mountain","Never",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,NA,3,1,NA,0
"121",121,121,3433332557,"Male","> 60","5'9""",FALSE,NA,"Graduate degree","Middle Atlantic","Once a year or less","Never",TRUE,"Very",TRUE,"Somewhat","No","No","No","Somewhat","Very","The arm rests should be shared","The arm rests should be shared","The person in the window seat should have exclusive control","No","Somewhat","Three times",FALSE,FALSE,1,3,NA,4,1,0,0
"122",122,122,3433330676,"Male","> 60",NA,NA,NA,"Graduate degree","Pacific","Never",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,NA,4,1,NA,0
"123",123,123,3433329602,"Male","30-44","5'11""",TRUE,"$100,000 - $149,999","Graduate degree","East South Central","Once a year or less","About half the time",TRUE,"No",FALSE,"No","No","Somewhat","Somewhat","No","No","The people in the aisle and window seats get both arm rests","The arm rests should be shared","The person in the window seat should have exclusive control","No","No","Once",FALSE,FALSE,0,1,NA,2,1,2,0
"124",124,124,3433327095,"Male","> 60","5'8""",FALSE,"$100,000 - $149,999","Graduate degree","West North Central","Once a year or less","Usually",TRUE,"Somewhat",TRUE,"Very","Somewhat","No","No","Somewhat","Very","The arm rests should be shared","The arm rests should be shared","Everyone in the row should have some say","Somewhat","No","Four times",FALSE,FALSE,0,2,NA,4,1,3,0
"125",125,125,3433323600,"Male","> 60","5'10""",FALSE,"$25,000 - $49,999","Bachelor degree","East North Central","Once a year or less","Usually",TRUE,"No",FALSE,"No","No","No","Somewhat","No","Somewhat","Other (please specify)","The arm rests should be shared","Everyone in the row should have some say","No","Somewhat","More than five times times",TRUE,FALSE,0,1,NA,4,1,3,0
"126",126,126,3433322189,"Male","> 60","5'9""",FALSE,"$100,000 - $149,999","Some college or Associate degree","South Atlantic","Once a year or less","About half the time",TRUE,"No",FALSE,"No","No","No","No","No","Somewhat","The arm rests should be shared","Whoever puts their arm on the arm rest first","Everyone in the row should have some say","No","No","Three times",FALSE,FALSE,0,1,NA,4,1,2,0
"127",127,127,3433321137,"Male","45-60","6'5""",TRUE,"$25,000 - $49,999","Bachelor degree","Pacific","Once a year or less","Always",TRUE,"No",TRUE,"No","No","No","Somewhat","No","Somewhat","The arm rests should be shared","The arm rests should be shared","The person in the window seat should have exclusive control","No","No","Four times",FALSE,FALSE,0,1,NA,3,1,4,0
"128",128,128,3433314320,"Male","> 60","6'1""",FALSE,"$100,000 - $149,999","Some college or Associate degree","Pacific","Once a year or less","Always",FALSE,"No",FALSE,"No","No","Somewhat","Somewhat","No","Very","The arm rests should be shared","The arm rests should be shared","Everyone in the row should have some say","No","No","Once",TRUE,FALSE,0,1,NA,4,1,4,0
"129",129,129,3433313301,"Male","45-60","5'9""",FALSE,"$50,000 - $99,999","Graduate degree","West North Central","Once a year or less","Once in a while",TRUE,"Somewhat",TRUE,"No","No","No","Very","No","Very","The person in the middle seat gets both arm rests","The person in aisle","Everyone in the row should have some say","Very","No","Three times",FALSE,FALSE,0,2,NA,3,1,1,0
"130",130,130,3433312937,"Male","30-44",NA,NA,"$25,000 - $49,999","High school degree","East North Central","Never",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,2,1,NA,0
"131",131,131,3433309728,NA,NA,NA,NA,NA,NA,NA,"Once a year or less",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,0
"132",132,132,3433309493,"Female","> 60",NA,NA,"$0 - $24,999","High school degree","Pacific","Never",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,4,0,NA,0
"133",133,133,3433308627,"Female","> 60","5'4""",FALSE,"$50,000 - $99,999","Graduate degree","East North Central","Once a year or less","Never",TRUE,"No",FALSE,"No","No","No","Very","No","Very","The arm rests should be shared","The person in aisle","The person in the window seat should have exclusive control","No","Somewhat","Once",FALSE,FALSE,0,1,NA,4,0,0,0
"134",134,134,3433307964,"Male","18-29",NA,NA,"$0 - $24,999","Some college or Associate degree","West North Central","Never",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,1,1,NA,0
"135",135,135,3433307757,"Female","> 60","5'5""",FALSE,NA,"Graduate degree","Middle Atlantic","Once a year or less","Once in a while",TRUE,"No",FALSE,"No","No","No","No","No","Somewhat","The arm rests should be shared","The arm rests should be shared","The person in the window seat should have exclusive control","No","No","Three times",FALSE,FALSE,1,1,NA,4,0,1,0
"136",136,136,3433307051,"Male","45-60",NA,NA,"$50,000 - $99,999","High school degree","East North Central","Never",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,3,1,NA,0
"137",137,137,3433305065,"Female","> 60","Under 5 ft.",FALSE,NA,"Graduate degree","Pacific","Once a year or less","Usually",TRUE,"No",FALSE,"No","No","No","No","No","Somewhat","Other (please specify)","Other (please specify)","Everyone in the row should have some say","No","No","More than five times times",FALSE,FALSE,1,1,NA,4,0,3,0
"138",138,138,3433304709,"Female","> 60","5'6""",FALSE,"$50,000 - $99,999","Graduate degree","East North Central","Once a year or less","Usually",TRUE,"No",FALSE,"No","No","No","No","Somewhat","Very","The arm rests should be shared","The arm rests should be shared","Everyone in the row should have some say","No","No","Four times",FALSE,FALSE,0,1,NA,4,0,3,0
"139",139,139,3433304455,"Female","> 60","5'0""",FALSE,NA,"Graduate degree","Middle Atlantic","Once a year or less","Always",TRUE,"No",FALSE,"No","No","Somewhat","Somewhat","No","Somewhat","The arm rests should be shared","The person by the window","The person in the window seat should have exclusive control","No","No","Three times",FALSE,FALSE,1,1,NA,4,0,4,0
"140",140,140,3433303387,"Male","> 60","5'11""",FALSE,NA,"Bachelor degree","Mountain","Once a month or less","About half the time",TRUE,"Somewhat",TRUE,"No","No","No","Somewhat","No","Very","The person in the middle seat gets both arm rests","Other (please specify)","The person in the window seat should have exclusive control","No","No","Twice",TRUE,FALSE,1,2,NA,4,1,2,0
